"pathway","mean_GCtS","mean_EtS","log2FC","W","p","p_adj","sig","direction"
"PWY-5838",4765.10748121742,2045.56576530662,-1.2200088348894,1707,3.1979402580994e-05,0.000421192131554555,"***","GCtS_higher"
"PWY-5850",2801.13276782832,1039.2247505748,-1.43050266967104,1712,2.66275455396148e-05,0.000421192131554555,"***","GCtS_higher"
"PWY-5989",6411.90337032659,2518.46705200531,-1.34820682675045,1710,2.87950811995537e-05,0.000421192131554555,"***","GCtS_higher"
"PWY-6317",12633.4466454832,5738.73648836716,-1.13844325229623,1707,3.1979402580994e-05,0.000421192131554555,"***","GCtS_higher"
"PWY-6478",1233.99834833938,481.650399913833,-1.35728219472728,1708,3.08829110760123e-05,0.000421192131554555,"***","GCtS_higher"
"PWY-6969",15921.5473661691,7364.41690120761,-1.11233734839901,1707,3.1979402580994e-05,0.000421192131554555,"***","GCtS_higher"
"PWY-7323",10243.3979106353,4721.43873048173,-1.11739590749395,1707,3.1979402580994e-05,0.000421192131554555,"***","GCtS_higher"
"PWY-8131",801.278477028497,274.298149299882,-1.54655883698482,1712,2.65687629981137e-05,0.000421192131554555,"***","GCtS_higher"
"PWY0-1241",1721.16703011027,667.419276981267,-1.36672184865317,1705,3.42830251427643e-05,0.000440781751835541,"***","GCtS_higher"
"HEXITOLDEGSUPER-PWY",2388.73763509185,1048.28868736976,-1.1882123311405,1703,3.67353793140346e-05,0.000455050637163264,"***","GCtS_higher"
"PWY-7332",385.736970442233,89.5984533886118,-2.10607169134473,1700.5,3.70782000651548e-05,0.000455050637163264,"***","GCtS_higher"
"PWY-1541",374.71417298118,105.968212124249,-1.82215898998032,1696,3.91346350570032e-05,0.000469615620684039,"***","GCtS_higher"
"PWY-8190",538.608862708972,97.9355859939442,-2.45933288966786,1697,4.08350411191805e-05,0.000479367874007771,"***","GCtS_higher"
"PWY-5494",147.758610537007,47.7388581344909,-1.63000624081849,1693,4.96913834147072e-05,0.000570922277530679,"***","GCtS_higher"
"PWY-5419",1097.30070102201,529.382301775489,-1.0515770629781,1691,5.53361729575453e-05,0.000622531945772385,"***","GCtS_higher"
"PWY-5138",1534.00012411906,568.483709376485,-1.4321076870089,1681.5,7.50984091557605e-05,0.000827615121308381,"***","GCtS_higher"
"PWY-7854",2949.48647602769,1338.72257367685,-1.13960677526429,1681,7.72319659652815e-05,0.000834105232425041,"***","GCtS_higher"
"PWY-6837",530.739003949395,194.95619887618,-1.44485254837822,1679.5,8.02198470752913e-05,0.000849386616091319,"***","GCtS_higher"
"PWY-5022",6714.9133104004,3213.3282078578,-1.06330043002508,1678,8.52383561969415e-05,0.00085365614851618,"***","GCtS_higher"
"PWY-5507",1115.51609636264,333.159588574398,-1.74342601000221,1665,8.5365614851618e-05,0.00085365614851618,"***","GCtS_higher"
"PWY66-389",35029.2742708362,16768.0776805463,-1.06284379349899,1679,8.24871397373123e-05,0.00085365614851618,"***","GCtS_higher"
"GLCMANNANAUT-PWY",5210.51223976085,2388.61654705666,-1.12524993773088,1666,0.000125677965182242,0.00119063335435809,"**","GCtS_higher"
"PWY-5347",10004.808587786,4846.28391481427,-1.0457427345759,1667,0.00012172301292582,0.00119063335435809,"**","GCtS_higher"
